input_file,compare_file,abstract_semantic_score,intro_semantic_score,conclusion_semantic_score,final_semantic_score
PMC13901_plagiated.xml,PMC13901.xml,0.86916375,0.7696371,0.87477374,0.851502416
PMC13902_plagiated.xml,PMC13902.xml,0.8658426,0.3489874,0.80921495,0.7398205000000001
PMC13913_plagiated.xml,PMC13913.xml,0.9290259,0.6053093,0.9271654,0.86353838
PMC15015_plagiated.xml,PMC15015.xml,0.82570326,0.35283786,0.9362375,0.7753438760000001
PMC15023_plagiated.xml,PMC15023.xml,0.90096235,0.48725468,0.86831236,0.80516082
PMC15024_plagiated.xml,PMC15024.xml,0.92117757,0.4284069,0.88594866,0.8085318720000001
PMC15025_plagiated.xml,PMC15025.xml,0.91331065,0.43054172,0.9632218,0.836721324
PMC15027_plagiated.xml,PMC15027.xml,0.9557823,0.13667196,0.86647356,0.756236736
PMC15028_plagiated.xml,PMC15028.xml,0.8284876,0.47353572,0.86612964,0.7725540400000002
PMC16139_plagiated.xml,PMC16139.xml,0.87327373,0.62470126,0.797689,0.7933253440000001
PMC16145_plagiated.xml,PMC16145.xml,0.74805725,0.46130568,0.7975706,0.710512276
PMC17599_plagiated.xml,PMC17599.xml,0.8477764,0.48516726,0.8620964,0.7809825720000001
PMC17803_plagiated.xml,PMC17803.xml,0.79490805,0.32371414,0.805357,0.7048488479999999
PMC25775_plagiated.xml,PMC25775.xml,0.7488947,0.27359843,0.90403,0.715889566
PMC28987_plagiated.xml,PMC28987.xml,0.7634077,0.45967364,0.9667384,0.7839931680000001
PMC28992_plagiated.xml,PMC28992.xml,0.95897925,0.45227933,0.90162027,0.834695674
PMC28994_plagiated.xml,PMC28994.xml,0.984391,0.53725874,0.8667315,0.847900748
PMC29004_plagiated.xml,PMC29004.xml,0.8618647,0.598673,0.68431,0.73820448
PMC29012_plagiated.xml,PMC29012.xml,0.8929436,0.4501065,0.907148,0.8100579400000001
PMC29014_plagiated.xml,PMC29014.xml,0.9492719,0.5924578,0.8624825,0.84319332
PMC29016_plagiated.xml,PMC29016.xml,0.8486017,0.4814322,0.80819505,0.7590051400000001
PMC29017_plagiated.xml,PMC29017.xml,0.76821184,0.4111308,0.8870636,0.7443363359999999
PMC29028_plagiated.xml,PMC29028.xml,0.8239511,0.5325997,0.9254197,0.8062682600000001
PMC29030_plagiated.xml,PMC29030.xml,0.8305901,0.4257451,0.9168335,0.78411846
PMC29031_plagiated.xml,PMC29031.xml,0.93695617,0.5106403,0.872352,0.8258513280000002
PMC29044_plagiated.xml,PMC29044.xml,0.844211,0.4180469,0.8890541,0.7769154200000001
PMC29046_plagiated.xml,PMC29046.xml,0.4164595,0.24895003,0.882165,0.569239806
PMC29048_plagiated.xml,PMC29048.xml,0.8325747,0.6729875,0.9516033,0.8482687000000001
PMC29057_plagiated.xml,PMC29057.xml,0.82664585,0.5291544,0.88272,0.7895772200000001
PMC29058_plagiated.xml,PMC29058.xml,0.88618577,0.5696893,0.88113683,0.8208669
PMC29059_plagiated.xml,PMC29059.xml,0.92755413,0.30880123,0.88766664,0.787848554
PMC29061_plagiated.xml,PMC29061.xml,0.8807122,0.14500956,0.91655636,0.747909336
PMC29062_plagiated.xml,PMC29062.xml,0.94758725,0.32363617,0.86801976,0.790970038
PMC29063_plagiated.xml,PMC29063.xml,0.92715085,0.60371214,0.8718797,0.840354648
PMC29065_plagiated.xml,PMC29065.xml,0.82287574,0.54303527,0.836115,0.7722033500000001
PMC29066_plagiated.xml,PMC29066.xml,0.8941953,0.3832304,0.8910084,0.7907275600000001
PMC29067_plagiated.xml,PMC29067.xml,0.49430948,0.39335516,0.8057126,0.5986798640000001
PMC29068_plagiated.xml,PMC29068.xml,0.7033391,0.48943228,0.7487792,0.6787337760000001
PMC29073_plagiated.xml,PMC29073.xml,0.9034549,0.4439327,0.9387251,0.82565854
PMC29077_plagiated.xml,PMC29077.xml,0.9178937,0.49832347,0.7990203,0.7864302940000001
PMC29079_plagiated.xml,PMC29079.xml,0.8794197,0.51755166,0.8551864,0.797352772
PMC29080_plagiated.xml,PMC29080.xml,0.87560534,0.18593188,0.9286468,0.7588872320000001
PMC29081_plagiated.xml,PMC29081.xml,0.9320948,0.7108255,0.8704183,0.8631703400000001
PMC29083_plagiated.xml,PMC29083.xml,0.88227355,0.40485325,0.8499656,0.7738663100000001
PMC29085_plagiated.xml,PMC29085.xml,0.93401337,0.533072,0.9211656,0.8486859880000001
PMC29086_plagiated.xml,PMC29086.xml,0.87867045,0.33320847,0.8402457,0.7542081540000001
PMC29087_plagiated.xml,PMC29087.xml,0.8652892,0.5184045,0.78589344,0.7641539560000001
PMC29088_plagiated.xml,PMC29088.xml,0.81645066,0.6112471,0.80878377,0.772343192
PMC29089_plagiated.xml,PMC29089.xml,0.96803963,0.42927137,0.90408945,0.834705906
PMC29092_plagiated.xml,PMC29092.xml,0.89705837,0.3411488,0.73150766,0.7196561720000001
PMC29094_plagiated.xml,PMC29094.xml,0.8194108,0.5642829,0.8435918,0.77805762
PMC29096_plagiated.xml,PMC29096.xml,0.83616674,0.53122365,0.83911157,0.7763560540000001
PMC29097_plagiated.xml,PMC29097.xml,0.8875313,0.4550105,0.8076563,0.76907714
PMC29098_plagiated.xml,PMC29098.xml,0.913571,0.59207374,0.9330298,0.8570550680000001
PMC29101_plagiated.xml,PMC29101.xml,0.9138691,0.35628155,0.877311,0.7877283500000001
PMC30704_plagiated.xml,PMC30704.xml,0.85751665,0.47917736,0.77194595,0.747620512
PMC30706_plagiated.xml,PMC30706.xml,0.9229321,0.31391013,0.94563484,0.810208802
PMC30707_plagiated.xml,PMC30707.xml,0.93032974,0.4133942,0.88522273,0.8088998279999999
PMC30708_plagiated.xml,PMC30708.xml,0.8655164,0.57057506,0.81326044,0.785625748
PMC30711_plagiated.xml,PMC30711.xml,0.56446713,0.56516254,0.908049,0.7020389600000001
PMC30712_plagiated.xml,PMC30712.xml,0.92567176,0.43765348,0.914983,0.8237926
PMC30714_plagiated.xml,PMC30714.xml,0.9395663,0.3513504,0.8450889,0.78413216
PMC30715_plagiated.xml,PMC30715.xml,0.8200749,0.42892995,0.9012746,0.77432579
PMC31330_plagiated.xml,PMC31330.xml,0.8614151,0.2329725,0.90249896,0.752160124
PMC31332_plagiated.xml,PMC31332.xml,0.89007425,0.17439803,0.58932304,0.626638522
PMC31333_plagiated.xml,PMC31333.xml,0.8649899,0.5341674,0.8984293,0.81220116
PMC31334_plagiated.xml,PMC31334.xml,0.8466862,0.5916712,0.8798193,0.8089364400000001
PMC31335_plagiated.xml,PMC31335.xml,0.81785786,0.6454428,0.84095764,0.79261476
PMC31336_plagiated.xml,PMC31336.xml,0.8784528,0.30197203,0.8895544,0.767597286
