input_file,compare_file,abstract_score,intro_score,conclusion_score,final_score,final_score
PMC13901_plagiated.xml,PMC13901.xml,0.9402567539020432,0.43358250438496754,1.0,0.8628192024378109,0.8628192024378109
PMC13901_plagiated.xml,PMC13902.xml,0.653358376714144,0.5874872948739779,0.5678732351110977,0.6059901037048923,0.6059901037048923
PMC13901_plagiated.xml,PMC13913.xml,0.677466246370193,0.556232770762835,0.4651123773715572,0.5682780036492672,0.5682780036492672
PMC13901_plagiated.xml,PMC15015.xml,0.698136144156356,0.4509517022445046,0.590279166455558,0.6055564646936666,0.6055564646936666
PMC13901_plagiated.xml,PMC15023.xml,0.6899669921433007,0.519343919834573,0.626641978050062,0.6305123720442597,0.6305123720442597
PMC13901_plagiated.xml,PMC15024.xml,0.6547270615744925,0.5729348087601582,0.670165505401696,0.644543988542507,0.644543988542507
PMC13901_plagiated.xml,PMC15025.xml,0.6572914050765553,0.34681052793834954,0.6618147736993327,0.5970045770980252,0.5970045770980252
PMC13901_plagiated.xml,PMC15027.xml,0.7498624350374483,0.5277612493001569,0.6080392120057199,0.6487129086772987,0.6487129086772987
PMC13901_plagiated.xml,PMC15028.xml,0.6315022036688067,0.5629216937800374,0.5608415145724827,0.5895218260525232,0.5895218260525232
PMC13901_plagiated.xml,PMC16139.xml,0.6934765382617557,0.5435388788797795,0.6222498747314515,0.6349983409732388,0.6349983409732388
PMC13901_plagiated.xml,PMC16145.xml,0.5923259971427902,0.3723689347621421,0.702088880345866,0.592239737947891,0.592239737947891
PMC13901_plagiated.xml,PMC17599.xml,0.6981361948255327,0.6214500076046376,0.592330268215529,0.6404765867373522,0.6404765867373522
PMC13901_plagiated.xml,PMC17803.xml,0.7161363192688784,0.46832847859446647,0.6592612737084338,0.6438247329098182,0.6438247329098182
PMC13901_plagiated.xml,PMC25775.xml,0.6649774413726868,0.6695804562758993,0.5753740207278284,0.630056676095386,0.630056676095386
PMC13901_plagiated.xml,PMC28987.xml,0.7109567810660551,0.6066028931025318,0.5830432479865142,0.6389205902415341,0.6389205902415341
PMC13901_plagiated.xml,PMC28992.xml,0.636752748445132,0.3813829548322982,0.478367517480387,0.5223246973366673,0.5223246973366673
PMC13901_plagiated.xml,PMC28994.xml,0.5833959514220544,0.3740679372640923,0.5059296317109704,0.5105438207060284,0.5105438207060284
PMC13901_plagiated.xml,PMC29004.xml,0.6648727340234746,0.6095898704937966,0.5542800440904707,0.6095790853443375,0.6095790853443375
PMC13901_plagiated.xml,PMC29012.xml,0.7210993604693114,0.5948980191154479,0.6389277035478426,0.6629904294299512,0.6629904294299512
PMC13901_plagiated.xml,PMC29014.xml,0.705080301502414,0.30218828770540573,0.5983339221034544,0.5818033469834285,0.5818033469834285
PMC13901_plagiated.xml,PMC29016.xml,0.6849076791259103,0.45851426397337514,0.6106359386541684,0.6099202999067066,0.6099202999067066
