input_file,abstract_probability,intro_probability,conclusion_probability
PMC13901.xml,0.064275,0.39759999999999995,0.503825
PMC13902.xml,0.483225,0.46204270833333333,0.48529999999999995
PMC13913.xml,0.0702,0.47148571428571423,0.39451428571428565
PMC15015.xml,0.2871,0.3561868421052632,0.21773846153846158
PMC15023.xml,0.046650000000000004,0.27603125,0.13067142857142858
PMC15024.xml,0.58295,0.4007625,0.4284666666666667
PMC15025.xml,0.35564999999999997,0.18681428571428574,0.18741999999999998
PMC15027.xml,0.13545,0.31324482758620686,0.34382
PMC15028.xml,0.9381,0.5178411764705882,0.251975
PMC16139.xml,0.02615,0.44234,0.09311666666666667
PMC16145.xml,0.16287500000000002,0.21424285714285715,0.22729230769230765
PMC17599.xml,0.3742,0.4701208333333333,0.35653333333333337
PMC17803.xml,0.09975,0.04251052631578948,0.008800000000000002
PMC25775.xml,0.01405,0.11071379310344828,0.24235
PMC28987.xml,0.0138,0.18492222222222224,0.0046
PMC28992.xml,0.45104999999999995,0.5097999999999999,0.39362
PMC28994.xml,0.49055,0.6112,0.20752500000000002
PMC29004.xml,0.44035,0.3350625,0.24101538461538466
PMC29012.xml,0.005600000000000001,0.027785714285714292,0.0539
PMC29014.xml,0.005,0.01395,0.0257
PMC29016.xml,0.0107,0.10703125,0.004375
PMC29017.xml,0.004333333333333334,0.04581818181818182,0.01515
PMC29028.xml,0.12215000000000001,0.40196666666666664,0.3545666666666667
PMC29030.xml,0.5011,0.0265,0.0209
PMC29031.xml,0.015550000000000001,0.08065,0.15016000000000002
PMC29044.xml,0.0083,0.036175,0.1603
PMC29046.xml,0.455975,0.27430400000000005,0.6028
PMC29048.xml,0.4659071428571429,0.6066400000000001,0.471175
PMC29057.xml,0.0049,0.04505454545454545,0.25984999999999997
PMC29058.xml,0.7342666666666666,0.37717222222222224,0.46976666666666667
PMC29059.xml,0.0972,0.253785,0.11943999999999999
PMC29061.xml,0.4287,0.38518333333333327,0.26237499999999997
PMC29062.xml,0.010199999999999999,0.13536923076923077,0.2331
PMC29063.xml,0.25305,0.41217586206896556,0.7159
PMC29065.xml,0.4824,0.17667058823529413,0.21789999999999998
PMC29066.xml,0.6288,0.46291999999999994,0.53372
PMC29067.xml,0.11820000000000001,0.064775,0.15486000000000003
PMC29068.xml,0.4848,0.3988444444444445,0.64795
PMC29073.xml,0.21985,0.3104173913043478,0.05790000000000001
PMC29077.xml,0.150675,0.1035857142857143,0.029583333333333326
PMC29079.xml,0.8544,0.22100000000000003,0.011875
PMC29080.xml,0.154,0.17046470588235293,0.045739999999999996
PMC29081.xml,0.46604999999999996,0.5013333333333334,0.824875
PMC29083.xml,0.3688,0.24962222222222222,0.813
PMC29085.xml,0.03915,0.496425,0.10754999999999999
PMC29086.xml,0.4768,0.30621111111111116,0.22215000000000001
PMC29087.xml,0.41205,0.2598052631578947,0.4871444444444445
PMC29088.xml,0.0289,0.20488125000000001,0.0102
PMC29089.xml,0.1798,0.1584857142857143,0.3483666666666667
PMC29092.xml,0.1533,0.16740952380952384,0.06595000000000001
PMC29094.xml,0.2434,0.5136357142857143,0.4371600000000001
PMC29096.xml,0.0073,0.5774,0.0216
PMC29097.xml,0.33515,0.1259846153846154,0.07794000000000001
PMC29098.xml,0.6669333333333333,0.5842333333333333,0.46895999999999993
PMC29101.xml,0.4217,0.13450434782608695,0.01358181818181818
PMC30704.xml,0.40644545454545455,0.3085305882352941,0.449975
PMC30706.xml,0.3026,0.44134000000000007,0.526075
PMC30707.xml,0.6454,0.28296333333333334,0.4258142857142857
PMC30708.xml,0.9297333333333334,0.2818631578947368,0.53115
PMC30711.xml,0.41827333333333333,0.3610642857142857,0.36762500000000004
PMC30712.xml,0.0031,0.010750000000000001,0.003533333333333333
PMC30714.xml,0.014600000000000002,0.08710000000000001,0.005316666666666667
PMC30715.xml,0.0039,0.4295333333333333,0.245
PMC31330.xml,0.35095000000000004,0.3923142857142858,0.39363333333333334
PMC31332.xml,0.1028,0.18527599999999997,0.1637076923076924
PMC31333.xml,0.15675,0.28561499999999995,0.4694857142857143
PMC31334.xml,0.16505,0.1766111111111111,0.1172
PMC31335.xml,0.09633333333333334,0.46551578947368416,0.09514999999999998
PMC31336.xml,0.19610000000000002,0.3764565217391304,0.0414
PMC31337.xml,0.0477,0.05408837209302326,0.1610222222222222
PMC31338.xml,0.5033,0.34333846153846154,0.087725
PMC31339.xml,0.18655,0.2618666666666667,0.0907
PMC31341.xml,0.006833333333333333,0.13517142857142855,0.005066666666666666
PMC31342.xml,0.006,0.19332666666666665,0.1141
PMC31344.xml,0.2284,0.25744374999999997,0.2870666666666667
PMC31347.xml,0.52885,0.4065931034482759,0.29524999999999996
PMC31348.xml,0.5495,0.22970909090909097,0.32073333333333337
PMC31349.xml,0.07624999999999998,0.20528947368421055,0.13875714285714288
PMC31370.xml,0.060899999999999996,0.24805937499999997,0.5173333333333333
PMC31411.xml,0.06543333333333333,0.22971724137931038,0.11573214285714285
PMC31431.xml,0.003,0.2501142857142857,0.010366666666666666
PMC31433.xml,0.5048,0.42383428571428566,0.4760444444444445
PMC31479.xml,0.37424999999999997,0.3617971428571428,0.32533333333333336
PMC31481.xml,0.0745,0.18510000000000001,0.2106
PMC31482.xml,0.45180000000000003,0.12646842105263156,0.13471111111111111
PMC31580.xml,0.283,0.30749,0.18595
PMC31918.xml,0.008199999999999999,0.2949625,0.3511666666666667
PMC31925.xml,0.9804,0.4419793103448276,0.17671666666666666
PMC32158.xml,0.0206,0.2635222222222222,0.26674000000000003
