input_file,compare_file,abstract_score
PMC13901_plagiated_multiplagiated.xml,PMC35279.xml,0.779303490538704
PMC13901_plagiated_multiplagiated.xml,PMC32297.xml,0.7786476448805955
PMC13901_plagiated_multiplagiated.xml,PMC13902.xml,0.7711662985313568
PMC13901_plagiated_multiplagiated.xml,PMC29077.xml,0.7593664266633291
PMC13901_plagiated_multiplagiated.xml,PMC32158.xml,0.7548940317631618
PMC13902_plagiated_multiplagiated.xml,PMC13902.xml,0.8670290055469598
PMC13902_plagiated_multiplagiated.xml,PMC32296.xml,0.7394457774438951
PMC13902_plagiated_multiplagiated.xml,PMC32299.xml,0.7157707836255258
PMC13902_plagiated_multiplagiated.xml,PMC32183.xml,0.7119279542844608
PMC13902_plagiated_multiplagiated.xml,PMC31482.xml,0.7106972096872831
PMC13913_plagiated_multiplagiated.xml,PMC13913.xml,0.9535565895392608
PMC13913_plagiated_multiplagiated.xml,PMC31349.xml,0.566958634237009
PMC13913_plagiated_multiplagiated.xml,PMC30711.xml,0.5166020098334163
PMC13913_plagiated_multiplagiated.xml,PMC31339.xml,0.5164973314484977
PMC13913_plagiated_multiplagiated.xml,PMC34111.xml,0.5120989823251818
PMC15015_plagiated_multiplagiated.xml,PMC15015.xml,0.9331936781171896
PMC15015_plagiated_multiplagiated.xml,PMC17599.xml,0.8816704703688274
PMC15015_plagiated_multiplagiated.xml,PMC37310.xml,0.8512994800435516
PMC15015_plagiated_multiplagiated.xml,PMC32163.xml,0.8446952364729284
PMC15015_plagiated_multiplagiated.xml,PMC31482.xml,0.8421444958262618
PMC15023_plagiated_multiplagiated.xml,PMC32183.xml,0.7940521756024612
PMC15023_plagiated_multiplagiated.xml,PMC32199.xml,0.7640424989782681
PMC15023_plagiated_multiplagiated.xml,PMC32197.xml,0.7588057819942912
PMC15023_plagiated_multiplagiated.xml,PMC32187.xml,0.7573114092515261
PMC15023_plagiated_multiplagiated.xml,PMC33344.xml,0.7546349421538717
PMC15024_plagiated_multiplagiated.xml,PMC15024.xml,1.0
PMC15024_plagiated_multiplagiated.xml,PMC31330.xml,0.8384983848194217
PMC15024_plagiated_multiplagiated.xml,PMC32197.xml,0.8234508246169664
PMC15024_plagiated_multiplagiated.xml,PMC33394.xml,0.8165985219003457
PMC15024_plagiated_multiplagiated.xml,PMC29096.xml,0.8139890255645594
PMC15025_plagiated_multiplagiated.xml,PMC15025.xml,0.7985432541192821
PMC15025_plagiated_multiplagiated.xml,PMC31337.xml,0.7598573453451417
PMC15025_plagiated_multiplagiated.xml,PMC29097.xml,0.7183574411085337
PMC15025_plagiated_multiplagiated.xml,PMC32197.xml,0.7056470191634935
PMC15025_plagiated_multiplagiated.xml,PMC29101.xml,0.7043598712746165
PMC15027_plagiated_multiplagiated.xml,PMC31481.xml,0.7751782647837614
PMC15027_plagiated_multiplagiated.xml,PMC37355.xml,0.75057731194427
PMC15027_plagiated_multiplagiated.xml,PMC34117.xml,0.7407602104169406
PMC15027_plagiated_multiplagiated.xml,PMC31337.xml,0.7366784778107
PMC15027_plagiated_multiplagiated.xml,PMC15027.xml,0.7331925510824251
PMC15028_plagiated_multiplagiated.xml,PMC15028.xml,0.858869839358707
PMC15028_plagiated_multiplagiated.xml,PMC15027.xml,0.7065102345037859
PMC15028_plagiated_multiplagiated.xml,PMC31481.xml,0.6938577775740165
PMC15028_plagiated_multiplagiated.xml,PMC32197.xml,0.6716014482872414
PMC15028_plagiated_multiplagiated.xml,PMC35277.xml,0.661431943858562
PMC16139_plagiated_multiplagiated.xml,PMC16139.xml,0.8792555847125083
PMC16139_plagiated_multiplagiated.xml,PMC15023.xml,0.6930874184258904
PMC16139_plagiated_multiplagiated.xml,PMC32191.xml,0.6748662263651609
PMC16139_plagiated_multiplagiated.xml,PMC29096.xml,0.6704801562650204
PMC16139_plagiated_multiplagiated.xml,PMC17803.xml,0.6652135124990827
