input_file,abstact,intro,conclusion,abstract
PMC35278_plagiated.xml,,True,False,False
PMC35279_plagiated.xml,,False,True,False
PMC35280_plagiated.xml,,True,False,False
PMC35283_plagiated.xml,,True,True,True
PMC35285_plagiated.xml,,False,False,False
PMC35286_plagiated.xml,,True,False,False
PMC35352_plagiated.xml,,True,False,False
PMC35353_plagiated.xml,,True,False,False
PMC35354_plagiated.xml,,True,False,True
PMC35360_plagiated.xml,,True,False,False
PMC35361_plagiated.xml,,False,False,False
PMC37242_plagiated.xml,,True,True,False
PMC37243_plagiated.xml,,False,False,False
PMC37310_plagiated.xml,,True,False,False
PMC37313_plagiated.xml,,True,True,True
PMC37314_plagiated.xml,,True,False,False
PMC37351_plagiated.xml,,True,True,False
PMC37352_plagiated.xml,,True,True,True
PMC37353_plagiated.xml,,False,False,False
PMC37354_plagiated.xml,,False,False,False
PMC37355_plagiated.xml,,True,True,False
PMC37356_plagiated.xml,,False,False,True
PMC37391_plagiated.xml,,True,False,False
